epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
0,85.65555555555555,100.0,1.2821621365017362e-07,1.3864030798806084
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
1,58.43333333333333,9.6,9.003433816697862,1.207139956580268
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
2,72.25555555555556,8.4,5.509578734503852,1.2736398759418064
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
3,80.8,3.311111111111111,8.18274724706014,1.2574408405092028
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
4,81.41111111111111,4.2,7.806607432471381,1.2187182008955213
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
5,81.74444444444444,4.322222222222222,7.909650793711345,1.189901822090149
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
6,82.12222222222222,3.577777777777778,8.153920613182915,1.2188563068177964
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
7,82.26666666666667,4.688888888888889,7.759241249084472,1.1880263636906943
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
8,82.16666666666667,4.788888888888889,7.93371855629815,1.1945802669525147
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
9,81.75555555555556,5.322222222222222,7.186521497938368,1.181448416603936
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
10,82.7,4.4,8.051894421895344,1.204457118988037
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
11,82.33333333333333,4.2444444444444445,8.007042150709363,1.1921954712337919
